Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
1916,Camp del Carrer Muntaner,26-03-1916,2,1,Barcelona,,,"Alcántara, Martínez",Petit,Copa Del Rey
1916,Campo de O'Donnell,02-04-1916,1,4,Real Madrid,,,Martínez,"Bernabeu, Bernabeu, Bernabeu, Petit",Copa Del Rey
1916,Campo de O'Donnell,13-04-1916,6,6,Draw,,,"Alcántara, Alcántara, Alcántara, Mallorquí, Bau, Martínez","Belaunde, Belaunde, Belaunde, Bernabeu, Bernabeu, Bernabeu",Copa Del Rey
1916,Campo de O'Donnell,15-04-1916,2,4,Real Madrid,,,"Martínez, Martínez","Bernabéu, Zabalo, Aranguren, Aranguren",Copa Del Rey
1926,Santiago Bernabéu Stadium,18-04-1926,5,1,Barcelona,,,"Samitier, Samitier, Samitier, Samitier, Piera",Monjardín,Copa Del Rey
1926,Camp Nou,26-04-1926,3,0,Barcelona,,,"Piera, Samitier, Samitier",,Copa Del Rey
1936,Mestalla Stadium,21-06-1936,1,2,Real Madrid,,,Escolà,"Eugenio, Lécue",Copa Del Rey
1943,Camp de Les Corts,06-06-1943,3,0,Barcelona,,,"Valle Mas, Escola, Sospedra",,Copa Del Rey
1943,Santiago Bernabéu Stadium,13-06-1943,1,11,Real Madrid,,,Martín,"Pruden, Pruden, Pruden, Barinaga, Barinaga, Barinaga, Barinaga, Alonso, Alonso, Alsúa, Botella",Copa Del Rey
1954,Santiago Bernabéu Stadium,06-06-1954,0,1,Real Madrid,,,,Mateos,Copa Del Rey
1954,Camp Nou,13-06-1954,3,1,Barcelona,,,"César, César, Biosca",Payá,Copa Del Rey
1957,Santiago Bernabéu Stadium,12-05-1957,2,2,Draw,,,"Kubala, Basora","Di Stefano, Di Stefano",Copa Del Rey
1957,Camp Nou,19-05-1957,6,1,Barcelona,,Olivella,"Martínez, Martínez, Martínez, Martínez, Kubala, Villaverde",,Copa Del Rey
1959,Santiago Bernabéu Stadium,07-06-1959,4,2,Barcelona,,,"Kocsis, Kocsis, Suárez, Suárez","Puskas, Mateos",Copa Del Rey
1959,Camp Nou,14-06-1959,3,1,Barcelona,,,"Villaverde, Suarez, Suarez",Gento,Copa Del Rey
1962,Santiago Bernabéu Stadium,15-04-1962,1,0,Barcelona,,,Martínez,,Copa Del Rey
1962,Camp Nou,22-04-1962,1,3,Real Madrid,,,Pereda,"del Sol, Puskas, Gento",Copa Del Rey
1968,Santiago Bernabéu Stadium,11-07-1968,1,0,Barcelona,Zunzunegui,,,,Copa Del Rey
1970,Santiago Bernabéu Stadium,30-05-1970,0,2,Real Madrid,,,,"Grosso, Amancio",Copa Del Rey
1970,Camp Nou,06-06-1970,1,1,Draw,,,Rexach,Amancio,Copa Del Rey
1974,Vicente Calderon Stadium,29-06-1974,0,4,Real Madrid,,,,"Santillana, Rubiñán, Aguilar, Pirri",Copa Del Rey
1983,La Romareda Stadium,04-06-1983,2,1,Real Madrid,,,Santillana,"Víctor, Marcos Alonso",Copa Del Rey
1990,Mestalla Stadium,04-04-1990,2,0,Real Madrid,,,"Amor, Salinas",,Copa Del Rey
1993,Santiago Bernabéu Stadium,08-06-1993,1,1,Draw,,,Bakero,Zamorano,Copa Del Rey
1993,Camp Nou,15-06-1993,1,2,Real Madrid,,,Laudrup,"Zamorano, Michel",Copa Del Rey
1997,Camp Nou,29-01-1997,3,2,Barcelona,,,"Ronaldo, Nadal, Giovanni","Šuker, Hierro",Copa Del Rey
1997,Santiago Bernabéu Stadium,05-02-1997,1,1,Draw,Roberto,,,Suker,Copa Del Rey
2011,Mestalla Stadium,20-04-2011,0,1,Real Madrid,,,,Ronaldo,Copa Del Rey
2012,Santiago Bernabéu Stadium,18-01-2012,2,1,Barcelona,,,"Puyol, Abidal",Ronaldo,Copa Del Rey
2012,Camp Nou,25-01-2012,2,2,Draw,,,"Pedro, Alves","Ronaldo, Benzema",Copa Del Rey
2013,Santiago Bernabéu Stadium,30-01-2013,1,1,Draw,,,Fàbregas,Varane,Copa Del Rey
2013,Camp Nou,26-02-2013,1,3,Real Madrid,,,Alba,"Ronaldo, Ronaldo, Varane",Copa Del Rey
2014,Mestalla Stadium,16-04-2014,1,2,Real Madrid,,,Bartra,"di María, Bale",Copa Del Rey
2019,Camp Nou,06-02-2019,1,1,Draw,,,Malcom,Vázquez,Copa Del Rey
2019,Santiago Bernabéu Stadium,27-02-2019,3,0,Barcelona,Varane,,"Suarez, Suarez",,Copa Del Rey
2023,Santiago Bernabéu Stadium,02-03-2023,1,0,Barcelona,Militão,,,,Copa Del Rey
2023,Camp Nou,05-04-2023,0,4,Real Madrid,,,,"Vinícius,  Benzema,  Benzema,  Benzema ",Copa Del Rey
