Date,Year,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
1929-02-17,1929,Camp Nou,1,2,Real Madrid,,,Parera,"Morera, Morera",La Liga
1929-05-09,1929,Santiago Bernabéu Stadium,1,0,Barcelona,,,Sastre,,La Liga
1930-01-26,1930,Camp Nou,1,4,Real Madrid,,,Bestit,"Rubio, Rubio, López, Lazcano",La Liga
1930-03-30,1930,Santiago Bernabéu Stadium,1,5,Real Madrid,,,Goiburu,"Rubio, Rubio, Lazcano, Lazcano, Lazcano",La Liga
1931-02-01,1931,Santiago Bernabéu Stadium,0,0,Draw,,,,,La Liga
1931-04-05,1931,Camp Nou,3,1,Barcelona,,,"Ramón, Ramón, Ramón",Eugenio,La Liga
1932-01-31,1932,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Olivares, Olivares",La Liga
1932-04-03,1932,Camp Nou,2,2,Draw,,,"Samitier, Arocha","Lazcano, Regueiro",La Liga
1933-01-01,1933,Camp Nou,1,1,Draw,,,Arocha,Regueiro,La Liga
1933-03-05,1933,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Goiburu,"Samitier, Samitier",La Liga
1933-11-26,1933,Camp Nou,1,2,Real Madrid,,,Morera,"Olivares, Regueiro",La Liga
1934-01-28,1934,Santiago Bernabéu Stadium,0,4,Real Madrid,,,,"Valle, Samitier, Regueiro, Eugenio",La Liga
1935-02-03,1935,Santiago Bernabéu Stadium,2,8,Real Madrid,,,"Escolà, Guzmán","Lazcano, Lazcano, Lazcano, Sañudo, Sañudo, Sañudo, Sañudo, Regueiro",La Liga
1935-04-21,1935,Camp Nou,5,0,Barcelona,,,"Ventolrà, Ventolrà, Ventolrà, Ventolrà, Escolà",,La Liga
1935-12-22,1935,Camp Nou,0,3,Real Madrid,,,,"Regueiro, Diz, Lecue",La Liga
1936-03-22,1936,Santiago Bernabéu Stadium,0,3,Real Madrid,,,,"Lecue, Lecue, Emilin",La Liga
1940-01-28,1940,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Pascual,"Alonso, Lecue",La Liga
1940-04-14,1940,Camp Nou,0,0,Draw,,,,,La Liga
1940-12-01,1940,Camp Nou,3,0,Barcelona,,,"Sospedra, Sospedra, Mas",,La Liga
1941-02-23,1941,Santiago Bernabéu Stadium,2,1,Barcelona,,,"Bravo, Martín",Barinaga,La Liga
1941-10-19,1941,Santiago Bernabéu Stadium,3,4,Real Madrid,,Benito,"Calvet, Raich, Gracia","Arbiza, Arbiza, Belmar",La Liga
1942-01-25,1942,Camp Nou,0,2,Real Madrid,,,,"Alday, Alday",La Liga
1942-09-27,1942,Santiago Bernabéu Stadium,0,3,Real Madrid,,,,"Arbiza, Arbiza, Alsúa",La Liga
1943-01-10,1943,Camp Nou,5,5,Draw,,,"Martín, Martín, Escolà, Mas, Mas","Alonso, Alday, Alday, Botella, II",La Liga
1944-01-02,1944,Santiago Bernabéu Stadium,1,0,Barcelona,,,Mas,,La Liga
1944-04-09,1944,Camp Nou,1,2,Real Madrid,,Rosalénch,Escolà,Alsúa,La Liga
1944-11-12,1944,Santiago Bernabéu Stadium,0,1,Real Madrid,,,,Moleiro,La Liga
1945-03-25,1945,Camp Nou,5,0,Barcelona,,,"César, César, Bravo, Escolà, III",,La Liga
1945-11-25,1945,Santiago Bernabéu Stadium,2,3,Real Madrid,,,"Martín, III","Barinaga, Pruden, Belmar",La Liga
1946-03-03,1946,Camp Nou,1,0,Barcelona,,,César,,La Liga
1946-12-01,1946,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Seguer,"Corona, Molowny",La Liga
1947-03-30,1947,Camp Nou,3,2,Barcelona,,,"Bravo, Navarro, Navarro","Arsuaga, Arsuaga",La Liga
1947-10-12,1947,Santiago Bernabéu Stadium,1,1,Draw,Clemente,,,Barinaga,La Liga
1948-01-25,1948,Camp Nou,4,2,Barcelona,,,"Seguer, Basora, Basora, César","Gallardo, Yunta",La Liga
1948-09-19,1948,Santiago Bernabéu Stadium,2,1,Barcelona,,,"Florencio, Basora",Barinaga,La Liga
1949-01-09,1949,Camp Nou,3,1,Barcelona,,,"César, César, Basora",Pahiño,La Liga
1949-09-18,1949,Santiago Bernabéu Stadium,1,6,Real Madrid,,,II,"Pahiño, Pahiño, Pahiño, Cabrera, Macala, Macala",La Liga
1950-01-15,1950,Camp Nou,2,3,Real Madrid,,,"Basora, César","Pahiño, Verdú, Cabrera",La Liga
1950-09-24,1950,Camp Nou,7,2,Barcelona,,,"Nicolau, Nicolau, César, Aurelio, Aurelio, III, Basora","Molowny, González",La Liga
1951-01-14,1951,Santiago Bernabéu Stadium,1,4,Real Madrid,,,Canal,"Narro, Narro, Narro, Pahiño",La Liga
1951-11-11,1951,Santiago Bernabéu Stadium,1,5,Real Madrid,,,Basora,"Molowny, Cabrera, Pahiño, Pahiño, Olsen",La Liga
1952-03-02,1952,Camp Nou,4,2,Barcelona,,,"Soler, César, César, César","Olsen, Arsuaga",La Liga
1952-11-23,1952,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Manchón,"Arsuaga, Arsuaga",La Liga
1953-04-05,1953,Camp Nou,1,0,Barcelona,,,Moreno,,La Liga
1953-10-25,1953,Santiago Bernabéu Stadium,0,5,Real Madrid,,,,"Stéfano, Stéfano, Olsen, Olsen, Molowny",La Liga
1954-02-21,1954,Camp Nou,5,1,Barcelona,,,"Tejada, Tejada, César, Moreno, Manchón",Stéfano,La Liga
1954-11-21,1954,Santiago Bernabéu Stadium,0,3,Real Madrid,,,,"Stéfano, Rial, Joseito",La Liga
1955-03-06,1955,Camp Nou,2,2,Draw,,,"Basora, Moll","Gento, Gento",La Liga
1955-11-13,1955,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Areta,"Rial, Marquitos",La Liga
1956-03-18,1956,Camp Nou,2,0,Barcelona,,,"Villaverde, Villaverde",,La Liga
1956-11-11,1956,Camp Nou,1,0,Barcelona,,,Suárez,,La Liga
1957-03-03,1957,Santiago Bernabéu Stadium,0,1,Real Madrid,,,,Joseito,La Liga
1957-10-13,1957,Santiago Bernabéu Stadium,0,3,Real Madrid,,,,"Kopa, Rial, Stéfano",La Liga
1958-02-02,1958,Camp Nou,0,2,Real Madrid,,,,"Marsal, Rial",La Liga
1958-10-26,1958,Camp Nou,4,0,Barcelona,,,"Evaristo, Evaristo, Evaristo, Tejada",,La Liga
1959-02-15,1959,Santiago Bernabéu Stadium,0,1,Real Madrid,,,,Herrera,La Liga
1959-11-29,1959,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Mateos, Stéfano",La Liga
1960-03-20,1960,Camp Nou,3,1,Barcelona,,,"Kocsis, Martínez, Villaverde",Stéfano,La Liga
1960-12-04,1960,Camp Nou,3,5,Real Madrid,,,"Martínez, Villaverde, Kubala","Stéfano, Stéfano, Sol, Gento, Gento",La Liga
1961-03-26,1961,Santiago Bernabéu Stadium,2,3,Real Madrid,,,"Suárez, Kubala","Sol, Stéfano, Puskás",La Liga
1961-09-30,1961,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Puskás, Sol",La Liga
1962-01-21,1962,Camp Nou,3,1,Barcelona,,,"Evaristo, Evaristo, Kocsis",Ruiz,La Liga
1962-09-30,1962,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Stéfano, Stéfano",La Liga
1963-01-27,1963,Camp Nou,1,5,Real Madrid,,,Ré,"Puskás, Puskás, Puskás, Stéfano, Gento",La Liga
1963-12-15,1963,Santiago Bernabéu Stadium,0,4,Real Madrid,,,,"Puskás, Puskás, Puskás, Stéfano",La Liga
1964-03-30,1964,Camp Nou,1,2,Real Madrid,,,Zaldúa,"Gento, Puskás",La Liga
