Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
1988,Santiago Bernabéu Stadium,21-09-1988,0,2,Real Madrid,,,,"Míchel, Sánchez",Supercopa
1988,Camp Nou,29-09-1988,2,1,Barcelona,,,"Bakero, Bakero",Butragueño,Supercopa
1990,Camp Nou,05-12-1990,0,1,Real Madrid,,,,Míchel,Supercopa
1990,Santiago Bernabéu Stadium,12-12-1990,1,4,Real Madrid,,,Goikoetxea,"Butragueño, Butragueño, Sánchez, Aragón",Supercopa
1993,Santiago Bernabéu Stadium,02-12-1993,1,3,Real Madrid,,,Stoichkov,"Alfonso, Alfonso, Zamorano",Supercopa
1993,Camp Nou,16-12-1993,1,1,Draw,,,Bakero,Zamorano,Supercopa
1997,Camp Nou,20-08-1997,2,1,Barcelona,,,"Nadal, Giovanni",Raúl,Supercopa
1997,Santiago Bernabéu Stadium,23-08-1997,1,4,Real Madrid,,,Giovanni,"Raúl, Raúl, Mijatović, Seedorf",Supercopa
2011,Santiago Bernabéu Stadium,14-08-2011,2,2,Draw,,,"Villa, Messi","Özil, Alonso",Supercopa
2011,Camp Nou,17-08-2011,3,2,Barcelona,,,"Iniesta, Messi, Messi","Ronaldo, Benzema",Supercopa
2012,Camp Nou,23-08-2012,3,2,Barcelona,,,"Pedro, Xavi, Messi","Ronaldo, María",Supercopa
2012,Santiago Bernabéu Stadium,29-08-2012,1,2,Real Madrid,,,Messi,"Higuaín, Ronaldo",Supercopa
2017,Camp Nou,13-08-2017,1,3,Real Madrid,,Piqué,Messi,"Ronaldo, Asensio",Supercopa
2017,Santiago Bernabéu Stadium,16-08-2017,0,2,Real Madrid,,,,"Asensio, Benzema",Supercopa
2022,King Fahd Stadium,12-01-2022,2,3,Real Madrid,,,"Jong, Fati","Vinícius, Benzema, Valverde",Supercopa
2023,King Fahd Stadium,15-01-2023,3,1,Barcelona,,,"Gavi, Lewandowski, Pedri",Benzema,Supercopa
2024,Al -Awwal Park,14-01-2024,1,4,Real Madrid,,,Lewandowski,"Vinicius, Vinicius, Vinicius, Rodrygo",Supercopa
2025,King Abdullah Sport City,12-01-2025,5,2,Barcelona,,,"Yamal, Raphinha, Raphinha, Balde, Lewandowski","Mbappé, Rodrygo",Supercopa
