Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file
1902,Hipodromo,13-05-1902,3,1,Barcelona,,,"Steinberg, Steinberg, Gamper",Johnson,Copa de la Coronacion,coronacion
1916,Camp del Carrer Muntaner,26-03-1916,2,1,Barcelona,,,"Alcantara, Martinez",Petit,Copa Del Rey,copa_del_rey
1916,Campo de O'Donnell,02-04-1916,1,4,Real Madrid,,,Martinez,"Bernabeu, Bernabeu, Bernabeu, Petit",Copa Del Rey,copa_del_rey
1916,Campo de O'Donnell,13-04-1916,6,6,Draw,,,"Alcantara, Alcantara, Alcantara, Mallorqui, Bau, Martinez","Belaunde, Belaunde, Belaunde, Bernabeu, Bernabeu, Bernabeu",Copa Del Rey,copa_del_rey
1916,Campo de O'Donnell,15-04-1916,2,4,Real Madrid,,,"Martinez, Martinez","Bernabeu, Zabalo, Aranguren, Aranguren",Copa Del Rey,copa_del_rey
1926,Santiago Bernabeu Stadium,18-04-1926,5,1,Barcelona,,,"Samitier, Samitier, Samitier, Samitier, Piera",Monjardin,Copa Del Rey,copa_del_rey
1926,Camp Nou,26-04-1926,3,0,Barcelona,,,"Piera, Samitier, Samitier",,Copa Del Rey,copa_del_rey
1929,Camp Nou,17-02-1929,1,2,Real Madrid,,,Parera,"Morera, Morera",La Liga,la_liga
1929,Santiago Bernabeu Stadium,09-05-1929,1,0,Barcelona,,,Sastre,,La Liga,la_liga
1930,Camp Nou,26-01-1930,1,4,Real Madrid,,,Bestit,"Rubio, Rubio, Lopez, Lazcano",La Liga,la_liga
1930,Santiago Bernabeu Stadium,30-03-1930,1,5,Real Madrid,,,Goiburu,"Rubio, Rubio, Lazcano, Lazcano, Lazcano",La Liga,la_liga
1931,Santiago Bernabeu Stadium,01-02-1931,0,0,Draw,,,,,La Liga,la_liga
1931,Camp Nou,05-04-1931,3,1,Barcelona,,,"Ramon, Ramon, Ramon",Eugenio,La Liga,la_liga
1932,Santiago Bernabeu Stadium,31-01-1932,0,2,Real Madrid,,,,"Olivares, Olivares",La Liga,la_liga
1932,Camp Nou,03-04-1932,2,2,Draw,,,"Samitier, Arocha","Lazcano, Regueiro",La Liga,la_liga
1933,Camp Nou,01-01-1933,1,1,Draw,,,Arocha,Regueiro,La Liga,la_liga
1933,Santiago Bernabeu Stadium,05-03-1933,1,2,Real Madrid,,,Goiburu,"Samitier, Samitier",La Liga,la_liga
1933,Camp Nou,26-11-1933,1,2,Real Madrid,,,Morera,"Olivares, Regueiro",La Liga,la_liga
1934,Santiago Bernabeu Stadium,28-01-1934,0,4,Real Madrid,,,,"Valle, Samitier, Regueiro, Eugenio",La Liga,la_liga
1935,Santiago Bernabeu Stadium,03-02-1935,2,8,Real Madrid,,,"Escola, Guzman","Lazcano, Lazcano, Lazcano, Sanudo, Sanudo, Sanudo, Sanudo, Regueiro",La Liga,la_liga
1935,Camp Nou,21-04-1935,5,0,Barcelona,,,"Ventolra, Ventolra, Ventolra, Ventolra, Escola",,La Liga,la_liga
1935,Camp Nou,22-12-1935,0,3,Real Madrid,,,,"Regueiro, Diz, Lecue",La Liga,la_liga
1936,Santiago Bernabeu Stadium,22-03-1936,0,3,Real Madrid,,,,"Lecue, Lecue, Emilin",La Liga,la_liga
1936,Mestalla Stadium,21-06-1936,1,2,Real Madrid,,,Escola,"Eugenio, Lecue",Copa Del Rey,copa_del_rey
1940,Santiago Bernabeu Stadium,28-01-1940,1,2,Real Madrid,,,Pascual,"Alonso, Lecue",La Liga,la_liga
