Date,Year,Barcelona_Goals,Real_Madrid_Goals,Winner
1902-05-13,1902,1,1,Barcelona
1916-03-26,1916,1,1,Barcelona
1916-04-02,1916,1,1,Real Madrid
1916-04-13,1916,6,6,Draw
1916-04-15,1916,2,2,Real Madrid
1926-04-18,1926,5,1,Barcelona
1926-04-25,1926,0,0,Barcelona
1929-02-17,1929,2,2,Real Madrid
1929-05-09,1929,1,0,Barcelona
1930-01-26,1930,4,4,Real Madrid
1930-03-30,1930,1,5,Real Madrid
1931-02-01,1931,0,0,Draw
1931-04-05,1931,1,1,Barcelona
1932-01-31,1932,0,0,Real Madrid
1932-04-03,1932,2,2,Draw
1933-01-01,1932,1,1,Draw
1933-03-05,1933,1,1,Real Madrid
1933-11-26,1933,2,2,Real Madrid
1934-01-28,1934,0,0,Real Madrid
1935-02-03,1935,2,2,Real Madrid
1935-04-21,1935,0,0,Barcelona
1935-12-22,1935,3,3,Real Madrid
1936-03-22,1936,0,0,Real Madrid
1936-06-21,1936,1,1,Real Madrid
1940-01-28,1940,1,2,Real Madrid
1940-04-14,1940,0,0,Draw
1940-12-01,1940,3,0,Barcelona
1941-02-23,1941,2,1,Barcelona
1941-10-19,1941,3,4,Real Madrid
1942-01-25,1942,0,2,Real Madrid
1942-09-27,1942,0,3,Real Madrid
1943-01-10,1943,5,5,Draw
1943-06-06,1943,3,0,Barcelona
1943-06-13,1943,1,11,Real Madrid
1944-01-02,1944,1,0,Barcelona
1944-04-09,1944,1,2,Real Madrid
1944-11-12,1944,0,1,Real Madrid
1945-03-25,1945,5,0,Barcelona
1945-11-25,1945,2,3,Real Madrid
1946-03-03,1946,1,0,Barcelona
1946-12-01,1946,1,2,Real Madrid
1947-03-30,1947,3,2,Barcelona
1947-10-12,1947,1,1,Draw
1948-01-25,1948,4,2,Barcelona
1948-09-19,1948,2,1,Barcelona
1949-01-09,1949,3,1,Barcelona
1949-09-18,1949,1,6,Real Madrid
1950-01-15,1950,2,3,Real Madrid
1950-09-24,1950,7,2,Barcelona
1951-01-14,1951,1,4,Real Madrid
1951-11-11,1951,1,5,Real Madrid
1952-03-02,1952,4,2,Barcelona
1952-11-23,1952,1,2,Real Madrid
1953-04-05,1953,1,0,Barcelona
1953-10-25,1953,0,5,Real Madrid
1954-02-21,1954,5,1,Barcelona
1954-06-06,1954,0,1,Real Madrid
1954-06-13,1954,3,1,Barcelona
1954-11-21,1954,0,3,Real Madrid
1955-03-06,1955,2,2,Draw
1955-11-13,1955,1,2,Real Madrid
1956-03-18,1956,2,0,Barcelona
1956-11-11,1956,1,0,Barcelona
1957-03-03,1957,0,1,Real Madrid
1957-05-12,1957,2,2,Draw
1957-05-19,1957,6,1,Barcelona
1957-10-13,1957,0,3,Real Madrid
1958-02-02,1958,0,2,Real Madrid
1958-10-26,1958,4,0,Barcelona
1959-02-15,1959,0,1,Real Madrid
1959-06-07,1959,4,2,Barcelona
1959-06-14,1959,3,1,Barcelona
1959-11-29,1959,0,2,Real Madrid
1960-03-20,1960,3,1,Barcelona
1960-04-21,1960,1,3,Real Madrid
1960-04-27,1960,1,3,Real Madrid
1960-11-09,1960,2,2,Draw
1960-11-25,1960,2,1,Barcelona
1960-12-04,1960,3,5,Real Madrid
1961-03-26,1961,2,3,Real Madrid
1961-09-30,1961,0,2,Real Madrid
1962-01-21,1962,3,1,Barcelona
1962-04-15,1962,1,0,Barcelona
1962-04-22,1962,1,3,Real Madrid
1962-09-30,1962,0,2,Real Madrid
1963-01-27,1963,1,5,Real Madrid
1963-12-15,1963,0,4,Real Madrid
1964-03-30,1964,1,2,Real Madrid
1964-11-08,1964,1,4,Real Madrid
1965-02-28,1965,1,2,Real Madrid
1965-12-19,1965,3,1,Barcelona
