No.,Date,Matchweek,Home team,Away team,Score (FT/HT),Goals (home),Goals (away)
1,17 February 1929,2,Barcelona,Real Madrid,1–2 (0–1),Parera (70),"Morera (10, 55)"
2,9 May 1929,11,Real Madrid,Barcelona,0–1 (0–0),,Sastre (83)
3,26 January 1930,9,Barcelona,Real Madrid,1–4 (0–3),Bestit (63),"Rubio (10, 37), F. López (17), Lazcano (71)"
4,30 March 1930,18,Real Madrid,Barcelona,5–1 (3–0),"Rubio (5, 23), Lazcano (42, 68, 72)",Goiburu (84)
5,1 February 1931,9,Real Madrid,Barcelona,0–0,,
6,5 April 1931,18,Barcelona,Real Madrid,3–1 (2–1),"Ramón (10, 38, 80)",Eugenio (39)
7,31 January 1932,9,Real Madrid,Barcelona,2–0 (2–0),"Olivares (26, 40)",
8,3 April 1932,18,Barcelona,Real Madrid,2–2 (1–1),"Samitier (20), Arocha (87 p.)","Lazcano (43), Regueiro (70)"
9,1 January 1933,6,Barcelona,Real Madrid,1–1 (0–0),Arocha (68),Regueiro (78 p.)
10,5 March 1933,15,Real Madrid,Barcelona,2–1 (1–0),"Samitier (35, 68)",Goiburu (89)
11,26 November 1933,4,Barcelona,Real Madrid,1–2 (0–2),Morera (46),"Olivares (9), Regueiro (26)"
12,28 January 1934,13,Real Madrid,Barcelona,4–0 (3–0),"Valle (7), Samitier (20), Regueiro (30), Eugenio (50)",
13,3 February 1935,10,Real Madrid,Barcelona,8–2 (5–1),"Lazcano (15, 42, 73), Sañudo (21, 35, 47, 81), Regueiro (29)","Escolà (17), Guzmán (68)"
14,21 April 1935,21,Barcelona,Real Madrid,5–0 (1–0),"Ventolrà (43, 62, 68, 82), Escolà (48)",
15,22 December 1935,7,Barcelona,Real Madrid,0–3 (0–2),,"Regueiro (21), Diz (40), Lecue (47)"
16,22 March 1936,18,Real Madrid,Barcelona,3–0 (2–0),"Lecue (10, 47), Emilin (43)",
17,28 January 1940,9,Real Madrid,Barcelona,2–1 (1–1),"Alonso (1), Lecue (75)",Pascual (3)
18,14 April 1940,20,Barcelona,Real Madrid,0–0,,
19,1 December 1940,10,Barcelona,Real Madrid,3–0 (0–0),"Sospedra (49, 69), Valle Mas (53)",
20,23 February 1941,21,Real Madrid,Barcelona,1–2 (0–0),Barinaga (49),"Bravo (60), Martín (63)"
21,19 October 1941,4,Real Madrid,Barcelona,4–3 (2–1),"Arbiza (17, 70), Benito (35 o.g.), Belmar (55)","Calvet (25), Raich (60 p.), Gracia (87)"
22,25 January 1942,17,Barcelona,Real Madrid,0–2 (0–0),,"Alday (63, 78)"
23,27 September 1942,1,Real Madrid,Barcelona,3–0 (1–0),"Arbiza (7, 89), Alsúa (52)",
24,10 January 1943,14,Barcelona,Real Madrid,5–5 (4–2),"Martín (25, 40), Escolà (31), Valle Mas (32, 62)","Alonso (10), Alday (27, 51), Botella (74), Mardones II (87)"
25,2 January 1944,13,Real Madrid,Barcelona,0–1 (0–0),,Valle Mas (50)
26,9 April 1944,26,Barcelona,Real Madrid,1–2 (1–0),Escolà (13),"Alsúa (62), Rosalénch (71 o.g.)"
27,12 November 1944,8,Real Madrid,Barcelona,1–0 (1–0),Moleiro (21),
