Date,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file,Barcelona Goals,Real Madrid Goals,Barcelona Scorers Clean,Real Madrid Scorers Clean
1916,Camp Nou,2.0,1.0,Barcelona,,,"Alcántara, Martínez",Petit,Copa Del Rey,copa_del_rey,,,,
1916,Santiago Bernabéu Stadium,1.0,4.0,Real Madrid,,,Martínez,Petit,Copa Del Rey,copa_del_rey,,,,
1916,Santiago Bernabéu Stadium,6.0,6.0,Draw,,,"Alcántara, Alcántara, Alcántara, Mallorquí, Bau, Martínez","Belaunde, Belaunde, Belaunde",Copa Del Rey,copa_del_rey,,,,
1916,Santiago Bernabéu Stadium,2.0,4.0,Real Madrid,,,"Martínez, Martínez","Bernabéu, Zabalo, Aranguren, Aranguren",Copa Del Rey,copa_del_rey,,,,
1926,Santiago Bernabéu Stadium,5.0,1.0,Barcelona,,,"Samitier, Samitier, Samitier, Samitier, Piera",Monjardín,Copa Del Rey,copa_del_rey,,,,
1926,Camp Nou,3.0,0.0,Barcelona,,,"Piera, Samitier, Samitier",,Copa Del Rey,copa_del_rey,,,,
1936,,1.0,2.0,Real Madrid,,,Escolà,"Eugenio, Lécue",Copa Del Rey,copa_del_rey,,,,
1943,Camp Nou,3.0,0.0,Barcelona,,,"Mas, Sospedra",,Copa Del Rey,copa_del_rey,,,,
1943,Santiago Bernabéu Stadium,1.0,11.0,Real Madrid,,,Martín,"Pruden, Pruden, Pruden, Barinaga, Barinaga, Barinaga, Barinaga, Alonso, Alonso, Alsúa, Botella",Copa Del Rey,copa_del_rey,,,,
1954,Santiago Bernabéu Stadium,0.0,1.0,Real Madrid,,,,Mateos,Copa Del Rey,copa_del_rey,,,,
1954,Camp Nou,3.0,1.0,Barcelona,,,"César, César, Biosca",Payá,Copa Del Rey,copa_del_rey,,,,
1957,Santiago Bernabéu Stadium,2.0,2.0,Draw,,,"Kubala, Basora",,Copa Del Rey,copa_del_rey,,,,
1957,Camp Nou,6.0,1.0,Barcelona,,Olivella,"Martínez, Martínez, Martínez, Martínez, Kubala, Villaverde",,Copa Del Rey,copa_del_rey,,,,
1958–59,Santiago Bernabéu Stadium,4.0,2.0,Barcelona,,,"Kocsis, Kocsis, Suárez, Suárez","Puskas, Mateos",Copa Del Rey,copa_del_rey,,,,
1958–59,Camp Nou,3.0,1.0,Barcelona,,,Villaverde,Gento,Copa Del Rey,copa_del_rey,,,,
1961–62,Santiago Bernabéu Stadium,1.0,0.0,Barcelona,,,Martínez,,Copa Del Rey,copa_del_rey,,,,
1961–62,Camp Nou,1.0,3.0,Real Madrid,,,Pereda,"Sol, Puskas, Gento",Copa Del Rey,copa_del_rey,,,,
1967–68,Santiago Bernabéu Stadium,1.0,0.0,Barcelona,Zunzunegui,,,,Copa Del Rey,copa_del_rey,,,,
1969–70,Santiago Bernabéu Stadium,0.0,2.0,Real Madrid,,,,"Grosso, Amancio",Copa Del Rey,copa_del_rey,,,,
1969–70,Camp Nou,1.0,1.0,Draw,,,Rexach,,Copa Del Rey,copa_del_rey,,,,
1973–74,,0.0,4.0,Real Madrid,,,,"Santillana, Rubiñán, Aguilar, Pirri",Copa Del Rey,copa_del_rey,,,,
1982–83,,1.0,2.0,Real Madrid,,,Santillana,"Víctor, Marcos",Copa Del Rey,copa_del_rey,,,,
1989–90,,0.0,2.0,Real Madrid,,,,"Amor, Salinas",Copa Del Rey,copa_del_rey,,,,
1992–93,Santiago Bernabéu Stadium,1.0,1.0,Draw,,,Bakero,Zamorano,Copa Del Rey,copa_del_rey,,,,
1992–93,Camp Nou,1.0,2.0,Real Madrid,,,Laudrup,Zamorano,Copa Del Rey,copa_del_rey,,,,
1996–97,Camp Nou,3.0,2.0,Barcelona,,,"Ronaldo, Nadal, Giovanni","Šuker, Hierro",Copa Del Rey,copa_del_rey,,,,
1996–97,Santiago Bernabéu Stadium,1.0,1.0,Draw,Roberto,,,,Copa Del Rey,copa_del_rey,,,,
2010–11,Camp Nou,0.0,1.0,Real Madrid,,,,Ronaldo,Copa Del Rey,copa_del_rey,,,,
2011–12,Santiago Bernabéu Stadium,2.0,1.0,Barcelona,,,"Puyol, Abidal",Ronaldo,Copa Del Rey,copa_del_rey,,,,
2011–12,Camp Nou,2.0,2.0,Draw,,,"Pedro, Alves","Ronaldo, Benzema",Copa Del Rey,copa_del_rey,,,,
2012–13,Santiago Bernabéu Stadium,1.0,1.0,Draw,,,Fàbregas,Varane,Copa Del Rey,copa_del_rey,,,,
