Season,Round,Round.1,Home team,Away team,Score (FT/HT),Goals (home),Goals (away)
1916,Semi-finals,First leg,Barcelona,Real Madrid,2–1 (1–1),"Alcántara (39), Martínez (85)",Petit (17)
1916,Semi-finals,Second leg,Real Madrid,Barcelona,4–1 (2–1),"Bernabéu (35 p., 40, 60), Petit (80)",Martínez (20)
1916,Semi-finals,1st (R),Real Madrid,Barcelona,6–6 (a.e.t),"Belaunde (2, 55, 87), Bernabéu (23, 98, 118 p.)","Alcántara (15, 30, 102), Mallorquí (67), Bau (70), Martínez (112)"
1916,Semi-finals,2nd (R),Real Madrid,Barcelona,4–2 (a.e.t),"Bernabéu (25), Zabalo (85), Aranguren (100, 108)","Martínez (11, 38)"
1926,Quarter-finals,First leg,Real Madrid,Barcelona,1–5 (0–3),Monjardín (47),"Samitier (19, 26, 43, 64), Piera (79)"
1926,Quarter-finals,Second leg,Barcelona,Real Madrid,3–0 (2–0),"Piera (8), Samitier (18, 51)",
1936,Final,Final,Real Madrid*,Barcelona,2–1 (2–1),"Eugenio (6), Lécue (12)",Escolà (29)
1943,Semi-finals,First leg,Barcelona,Real Madrid,3–0 (2–0),"Valle Mas (34), Escolá (43 p.), Sospedra (60)",
1943,Semi-finals,Second leg,Real Madrid,Barcelona,11–1 (8–0),"Pruden (5, 28, 35), Barinaga (31, 43, 44, 87), Alonso (37, 74), Alsúa (39), Botella (87)",Martín (89)
1954,Semi-finals,First leg,Real Madrid,Barcelona,1–0 (0–0),Mateos (86),
1954,Semi-finals,Second leg,Barcelona,Real Madrid,3–1 (2–0),"César (9, 12), Biosca (87)",Pérez Payá (72)
1957,Quarter-finals,First leg,Real Madrid,Barcelona,2–2 (2–1),"Di Stéfano (20 p., 35)","Kubala (14), Basora (53)"
1957,Quarter-finals,Second leg,Barcelona,Real Madrid,6–1 (2–0),"Martínez (4, 48, 50, 63), Kubala (35), Villaverde (79)",Olivella (19 o.g.)
1958–59,Semi-finals,First leg,Real Madrid,Barcelona,2–4 (2–0),"Puskas (20), Mateos (35)","Kocsis (51, 69), Luis Suárez (67, 71)"
1958–59,Semi-finals,Second leg,Barcelona,Real Madrid,3–1 (2–1),"Luis Suárez (34 p., 44), Villaverde (63)",Gento (36)
1961–62,Quarter-finals,First leg,Real Madrid,Barcelona,0–1 (0–0),,Martínez (62)
1961–62,Quarter-finals,Second leg,Barcelona,Real Madrid,1–3 (0–0),Pereda (85),"Del Sol (65), Puskas (83), Gento (90)"
1967–68,Final,Final,Real Madrid,Barcelona,0–1 (0–1),,Zunzunegui (6 o.g.)
1969–70,Quarter-finals,First leg,Real Madrid,Barcelona,2–0 (2–0),"Grosso (5), Amancio (44)",
1969–70,Quarter-finals,Second leg,Barcelona,Real Madrid,1–1 (1–0),Rexach (45),Amancio (60 p.)
1973–74,Final,Final,Real Madrid*,Barcelona,4–0 (1–0),"Santillana (5), Rubiñán (46), Aguilar (50), Pirri (83)",
1982–83,Final,Final,Barcelona*,Real Madrid,2–1 (1–0),"Víctor (32), Marcos (89)",Santillana (50)
1989–90,Final,Final,Barcelona*,Real Madrid,2–0 (0–0),"Amor (68), Salinas (90)",
1992–93,Semi-finals,First leg,Real Madrid,Barcelona,1–1 (1–1),Zamorano (40),Bakero (30)
1992–93,Semi-finals,Second leg,Barcelona,Real Madrid,1–2 (0–1),Laudrup (87),"Míchel (24 p.), Zamorano (82)"
1996–97,Round of 16,First leg,Barcelona,Real Madrid,3–2 (1–1),"Ronaldo (13), Nadal (70), Giovanni (78)","Šuker (16), Hierro (67)"
1996–97,Round of 16,Second leg,Real Madrid,Barcelona,1–1 (0–0),Šuker (80 p.),Roberto Carlos (69 o.g.)
2010–11,Final,Final,Barcelona,Real Madrid*,0–1 (a.e.t.),,C. Ronaldo (103)
2011–12,Quarter-finals,First leg,Real Madrid,Barcelona,1–2 (1–0),C. Ronaldo (11),"Puyol (49), Abidal (77)"
2011–12,Quarter-finals,Second leg,Barcelona,Real Madrid,2–2 (2–0),"Pedro (43), Dani Alves (45+3)","C. Ronaldo (68), Benzema (72)"
2012–13,Semi-finals,First leg,Real Madrid,Barcelona,1–1 (0–0),Varane (81),Fàbregas (50)
2012–13,Semi-finals,Second leg,Barcelona,Real Madrid,1–3 (0–1),Alba (89),"C. Ronaldo (13, 57 p.), Varane (68)"
2013–14,Final,Final,Real Madrid*,Barcelona,2–1 (1–0),"Di María (11), Bale (85)",Bartra (69)
2018–19,Semi-finals,First leg,Barcelona,Real Madrid,1–1 (0–1),Malcom (57),Vázquez (6)
2018–19,Semi-finals,Second leg,Real Madrid,Barcelona,0–3 (0–0),,"L. Suárez (50, 73 p.), Varane (69 o.g.)"
2022–23,Semi-finals,First leg,Real Madrid,Barcelona,0–1 (0–1),,Militão (26 o.g.)
2022–23,Semi-finals,Second leg,Barcelona,Real Madrid,0–4 (0–1),,"Vinícius (45+1), Benzema (50, 58 p., 80)"
