Season,Round,Home team,Away team,Score (FT/HT),Goals (home),Goals (away)
1988–89,First leg,Real Madrid,Barcelona,2–0 (0–0),"Míchel (51), Hugo Sánchez (78)",
1988–89,Second leg,Barcelona,Real Madrid,2–1 (1–1),"Bakero (37, 78)",Butragueño (15)
1990–91,First leg,Barcelona,Real Madrid,0–1 (0–0),,Míchel (55)
1990–91,Second leg,Real Madrid,Barcelona,4–1 (2–1),"Butragueño (21, 44), Hugo Sánchez (56), Aragón (70)",Goikoetxea (20)
1993–94,First leg,Real Madrid,Barcelona,3–1 (1–1),"Alfonso (33, 85), Zamorano (55)",Stoichkov (15)
1993–94,Second leg,Barcelona,Real Madrid,1–1 (0–1),Bakero (65),Zamorano (21)
1997–98,First leg,Barcelona,Real Madrid,2–1 (1–1),"Nadal (11), Giovanni (85 p.)",Raúl (5)
1997–98,Second leg,Real Madrid,Barcelona,4–1 (1–0),"Raúl (42, 54), Mijatović (58), Seedorf (65)",Giovanni (80)
2011–12,First leg,Real Madrid,Barcelona,2–2 (1–2),"Özil (13), Alonso (54)","Villa (36), Messi (45)"
2011–12,Second leg,Barcelona,Real Madrid,3–2 (2–1),"Iniesta (15), Messi (45, 88)","C. Ronaldo (20), Benzema (81)"
2012–13,First leg,Barcelona,Real Madrid,3–2 (0–0),"Pedro (57), Messi (70 p.), Xavi (78)","C. Ronaldo (55), Di María (85)"
2012–13,Second leg,Real Madrid,Barcelona,2–1 (2–1),"Higuaín (11), C. Ronaldo (19)",Messi (45)
2017–18,First leg,Barcelona,Real Madrid,1–3 (0–0),Messi (77 p.),"Piqué (50 o.g.), C. Ronaldo (80), Asensio (90)"
2017–18,Second leg,Real Madrid,Barcelona,2–0 (2–0),"Asensio (4), Benzema (39)",
2021–22,Semi-finals,Barcelona,Real Madrid,2–3 (a.e.t.) (1–1),"L. de Jong (41), Fati (83)","Vinícius (25), Benzema (72), Valverde (98)"
2022–23,Final,Real Madrid,Barcelona,1–3 (0–2),Benzema (90+3),"Gavi (33), Lewandowski (45), Pedri (69)"
2023–24,Final,Real Madrid,Barcelona,4–1 (3–1),"Vinícius (7, 10, 39 p.), Rodrygo (64)",Lewandowski (33)
2024–25,Final,Real Madrid,Barcelona,2–5 (1–4),"Mbappé (5), Rodrygo (60)","Yamal (22), Lewandowski (36 p.), Raphinha (39, 48), Balde (45+10)"
