Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
13-05-1902,Hipodromo,Copa de la Coronacion,Barcelona,Steinberg,Barcelona,,
13-05-1902,Hipodromo,Copa de la Coronacion,Barcelona,Steinberg,Barcelona,,
13-05-1902,Hipodromo,Copa de la Coronacion,Barcelona,Gamper,Barcelona,,
13-05-1902,Hipodromo,Copa de la Coronacion,Barcelona,Johnson,Real Madrid,,
26-03-1916,Camp del Carrer Muntaner,Copa Del Rey,Barcelona,Alcantara,Barcelona,,
26-03-1916,Camp del Carrer Muntaner,Copa Del Rey,Barcelona,Vicent Martinez,Barcelona,,
26-03-1916,Camp del Carrer Muntaner,Copa Del Rey,Barcelona,Petit,Real Madrid,,
02-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Vicent Martinez,Barcelona,,
02-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Bernabeu,Real Madrid,,
02-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Bernabeu,Real Madrid,,
02-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Bernabeu,Real Madrid,,
02-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Petit,Real Madrid,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Alcantara,Barcelona,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Alcantara,Barcelona,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Alcantara,Barcelona,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Mallorqui,Barcelona,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Bau,Barcelona,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Vicent Martinez,Barcelona,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Belaunde,Real Madrid,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Belaunde,Real Madrid,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Belaunde,Real Madrid,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Bernabeu,Real Madrid,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Bernabeu,Real Madrid,,
13-04-1916,Campo de O'Donnell,Copa Del Rey,Draw,Bernabeu,Real Madrid,,
15-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Vicent Martinez,Barcelona,,
15-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Vicent Martinez,Barcelona,,
15-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Bernabeu,Real Madrid,,
15-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Zabalo,Real Madrid,,
15-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Aranguren,Real Madrid,,
15-04-1916,Campo de O'Donnell,Copa Del Rey,Real Madrid,Aranguren,Real Madrid,,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Samitier,Barcelona,,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Samitier,Barcelona,,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Samitier,Barcelona,,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Samitier,Barcelona,,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Piera,Barcelona,,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Monjardin,Real Madrid,,
26-04-1926,Camp Nou,Copa Del Rey,Barcelona,Piera,Barcelona,,
26-04-1926,Camp Nou,Copa Del Rey,Barcelona,Samitier,Barcelona,,
26-04-1926,Camp Nou,Copa Del Rey,Barcelona,Samitier,Barcelona,,
17-02-1929,Camp Nou,La Liga,Real Madrid,Parera,Barcelona,,
17-02-1929,Camp Nou,La Liga,Real Madrid,Rafael Morera,Real Madrid,,
17-02-1929,Camp Nou,La Liga,Real Madrid,Rafael Morera,Real Madrid,,
09-05-1929,Santiago Bernabeu Stadium,La Liga,Barcelona,Sastre,Barcelona,,
26-01-1930,Camp Nou,La Liga,Real Madrid,Bestit,Barcelona,,
26-01-1930,Camp Nou,La Liga,Real Madrid,Rubio,Real Madrid,,
26-01-1930,Camp Nou,La Liga,Real Madrid,Rubio,Real Madrid,,
26-01-1930,Camp Nou,La Liga,Real Madrid,Lopez,Real Madrid,,
26-01-1930,Camp Nou,La Liga,Real Madrid,Lazcano,Real Madrid,,
30-03-1930,Santiago Bernabeu Stadium,La Liga,Real Madrid,Goiburu,Barcelona,,
30-03-1930,Santiago Bernabeu Stadium,La Liga,Real Madrid,Rubio,Real Madrid,,
30-03-1930,Santiago Bernabeu Stadium,La Liga,Real Madrid,Rubio,Real Madrid,,
30-03-1930,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lazcano,Real Madrid,,
30-03-1930,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lazcano,Real Madrid,,
30-03-1930,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lazcano,Real Madrid,,
01-02-1931,Santiago Bernabeu Stadium,La Liga,Draw,No Goals,NA,,
05-04-1931,Camp Nou,La Liga,Barcelona,Ramon,Barcelona,,
05-04-1931,Camp Nou,La Liga,Barcelona,Ramon,Barcelona,,
05-04-1931,Camp Nou,La Liga,Barcelona,Ramon,Barcelona,,
05-04-1931,Camp Nou,La Liga,Barcelona,Eugenio,Real Madrid,,
31-01-1932,Santiago Bernabeu Stadium,La Liga,Real Madrid,Olivares,Real Madrid,,
31-01-1932,Santiago Bernabeu Stadium,La Liga,Real Madrid,Olivares,Real Madrid,,
03-04-1932,Camp Nou,La Liga,Draw,Samitier,Barcelona,,
03-04-1932,Camp Nou,La Liga,Draw,Arocha,Barcelona,,
03-04-1932,Camp Nou,La Liga,Draw,Lazcano,Real Madrid,,
03-04-1932,Camp Nou,La Liga,Draw,Regueiro,Real Madrid,,
01-01-1933,Camp Nou,La Liga,Draw,Arocha,Barcelona,,
01-01-1933,Camp Nou,La Liga,Draw,Regueiro,Real Madrid,,
05-03-1933,Santiago Bernabeu Stadium,La Liga,Real Madrid,Goiburu,Barcelona,,
05-03-1933,Santiago Bernabeu Stadium,La Liga,Real Madrid,Samitier,Real Madrid,,
05-03-1933,Santiago Bernabeu Stadium,La Liga,Real Madrid,Samitier,Real Madrid,,
26-11-1933,Camp Nou,La Liga,Real Madrid,Alejandro Morera,Barcelona,,
26-11-1933,Camp Nou,La Liga,Real Madrid,Olivares,Real Madrid,,
26-11-1933,Camp Nou,La Liga,Real Madrid,Regueiro,Real Madrid,,
28-01-1934,Santiago Bernabeu Stadium,La Liga,Real Madrid,Valle,Real Madrid,,
28-01-1934,Santiago Bernabeu Stadium,La Liga,Real Madrid,Samitier,Real Madrid,,
28-01-1934,Santiago Bernabeu Stadium,La Liga,Real Madrid,Regueiro,Real Madrid,,
28-01-1934,Santiago Bernabeu Stadium,La Liga,Real Madrid,Eugenio,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Escola,Barcelona,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Guzman,Barcelona,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lazcano,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lazcano,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lazcano,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Sanudo,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Sanudo,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Sanudo,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Sanudo,Real Madrid,,
03-02-1935,Santiago Bernabeu Stadium,La Liga,Real Madrid,Regueiro,Real Madrid,,
21-04-1935,Camp Nou,La Liga,Barcelona,Ventolra,Barcelona,,
21-04-1935,Camp Nou,La Liga,Barcelona,Ventolra,Barcelona,,
21-04-1935,Camp Nou,La Liga,Barcelona,Ventolra,Barcelona,,
21-04-1935,Camp Nou,La Liga,Barcelona,Ventolra,Barcelona,,
21-04-1935,Camp Nou,La Liga,Barcelona,Escola,Barcelona,,
22-12-1935,Camp Nou,La Liga,Real Madrid,Regueiro,Real Madrid,,
22-12-1935,Camp Nou,La Liga,Real Madrid,Diz,Real Madrid,,
22-12-1935,Camp Nou,La Liga,Real Madrid,Lecue,Real Madrid,,
22-03-1936,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lecue,Real Madrid,,
22-03-1936,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lecue,Real Madrid,,
22-03-1936,Santiago Bernabeu Stadium,La Liga,Real Madrid,Emilin,Real Madrid,,
21-06-1936,Mestalla Stadium,Copa Del Rey,Real Madrid,Escola,Barcelona,,
21-06-1936,Mestalla Stadium,Copa Del Rey,Real Madrid,Eugenio,Real Madrid,,
21-06-1936,Mestalla Stadium,Copa Del Rey,Real Madrid,Lecue,Real Madrid,,
28-01-1940,Santiago Bernabeu Stadium,La Liga,Real Madrid,Pascual,Barcelona,,
28-01-1940,Santiago Bernabeu Stadium,La Liga,Real Madrid,Chus Alonso,Real Madrid,,
28-01-1940,Santiago Bernabeu Stadium,La Liga,Real Madrid,Lecue,Real Madrid,,
14-04-1940,Camp Nou,La Liga,Draw,No Goals,NA,,
01-12-1940,Camp Nou,La Liga,Barcelona,Sospedra,Barcelona,,
01-12-1940,Camp Nou,La Liga,Barcelona,Sospedra,Barcelona,,
01-12-1940,Camp Nou,La Liga,Barcelona,Mas,Barcelona,,
23-02-1941,Santiago Bernabeu Stadium,La Liga,Barcelona,Bravo,Barcelona,,
23-02-1941,Santiago Bernabeu Stadium,La Liga,Barcelona,Martin,Barcelona,,
23-02-1941,Santiago Bernabeu Stadium,La Liga,Barcelona,Barinaga,Real Madrid,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,Calvet,Barcelona,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,Raich,Barcelona,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,Gracia,Barcelona,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,Arbiza,Real Madrid,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,Arbiza,Real Madrid,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,Belmar,Real Madrid,,
19-10-1941,Santiago Bernabeu Stadium,La Liga,Real Madrid,,Barcelona,,Benito
25-01-1942,Camp Nou,La Liga,Real Madrid,Alday,Real Madrid,,
25-01-1942,Camp Nou,La Liga,Real Madrid,Alday,Real Madrid,,
27-09-1942,Santiago Bernabeu Stadium,La Liga,Real Madrid,Arbiza,Real Madrid,,
27-09-1942,Santiago Bernabeu Stadium,La Liga,Real Madrid,Arbiza,Real Madrid,,
27-09-1942,Santiago Bernabeu Stadium,La Liga,Real Madrid,Alsua,Real Madrid,,
10-01-1943,Camp Nou,La Liga,Draw,Martin,Barcelona,,
10-01-1943,Camp Nou,La Liga,Draw,Martin,Barcelona,,
10-01-1943,Camp Nou,La Liga,Draw,Escola,Barcelona,,
10-01-1943,Camp Nou,La Liga,Draw,Mas,Barcelona,,
10-01-1943,Camp Nou,La Liga,Draw,Mas,Barcelona,,
10-01-1943,Camp Nou,La Liga,Draw,Chus Alonso,Real Madrid,,
10-01-1943,Camp Nou,La Liga,Draw,Alday,Real Madrid,,
10-01-1943,Camp Nou,La Liga,Draw,Alday,Real Madrid,,
10-01-1943,Camp Nou,La Liga,Draw,Botella,Real Madrid,,
10-01-1943,Camp Nou,La Liga,Draw,Mardones II,Real Madrid,,
06-06-1943,Camp de Les Corts,Copa Del Rey,Barcelona,Valle Mas,Barcelona,,
06-06-1943,Camp de Les Corts,Copa Del Rey,Barcelona,Escola,Barcelona,,
06-06-1943,Camp de Les Corts,Copa Del Rey,Barcelona,Sospedra,Barcelona,,
13-06-1943,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Martin,Barcelona,,
13-06-1943,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Pruden,Real Madrid,,
13-06-1943,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Pruden,Real Madrid,,
13-06-1943,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Pruden,Real Madrid,,
13-06-1943,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Barinaga,Real Madrid,,
13-06-1943,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Barinaga,Real Madrid,,
