Date,Venue,League,Barcelona_Goals,Real_Madrid_Goals,Winner,Barcelona_Scorers,Real_Madrid_Scorers,Real_Madrid_Own_Goals,Barcelona_Own_Goals
13-05-1902,Hipodromo,Copa de la Coronacion,3,1,Barcelona,"Steinberg, Steinberg, Gamper",Johnson,,
26-03-1916,Camp del Carrer Muntaner,Copa Del Rey,2,1,Barcelona,"Alcantara, Vicente Martinez",Petit,,
02-04-1916,Campo de O'Donnell,Copa Del Rey,1,4,Real Madrid,Vicent Martinez,"Bernabeu, Bernabeu, Bernabeu, Petit",,
13-04-1916,Campo de O'Donnell,Copa Del Rey,6,6,Draw,"Alcantara, Alcantara, Alcantara, Mallorqui, Bau, Vicente Martinez","Belaunde, Belaunde, Belaunde, Bernabeu, Bernabeu, Bernabeu",,
15-04-1916,Campo de O'Donnell,Copa Del Rey,2,4,Real Madrid,"Vicente Martinez, Vicente Martinez","Bernabeu, Zabalo, Aranguren, Aranguren",,
18-04-1926,Santiago Bernabeu Stadium,Copa Del Rey,5,1,Barcelona,"Samitier, Samitier, Samitier, Samitier, Piera",Monjardin,,
26-04-1926,Camp Nou,Copa Del Rey,3,0,Barcelona,"Piera, Samitier, Samitier",,,
17-02-1929,Camp Nou,La Liga,1,2,Real Madrid,Parera,"Rafael Morera, Rafael Morera",,
09-05-1929,Santiago Bernabeu Stadium,La Liga,1,0,Barcelona,Sastre,,,
26-01-1930,Camp Nou,La Liga,1,4,Real Madrid,Bestit,"Rubio, Rubio, Lopez, Lazcano",,
30-03-1930,Santiago Bernabeu Stadium,La Liga,1,5,Real Madrid,Goiburu,"Rubio, Rubio, Lazcano, Lazcano, Lazcano",,
01-02-1931,Santiago Bernabeu Stadium,La Liga,0,0,Draw,,,,
05-04-1931,Camp Nou,La Liga,3,1,Barcelona,"Ramon, Ramon, Ramon",Eugenio,,
31-01-1932,Santiago Bernabeu Stadium,La Liga,0,2,Real Madrid,,"Olivares, Olivares",,
03-04-1932,Camp Nou,La Liga,2,2,Draw,"Samitier, Arocha","Lazcano, Regueiro",,
01-01-1933,Camp Nou,La Liga,1,1,Draw,Arocha,Regueiro,,
05-03-1933,Santiago Bernabeu Stadium,La Liga,1,2,Real Madrid,Goiburu,"Samitier, Samitier",,
26-11-1933,Camp Nou,La Liga,1,2,Real Madrid,Alejandro Morera,"Olivares, Regueiro",,
28-01-1934,Santiago Bernabeu Stadium,La Liga,0,4,Real Madrid,,"Valle, Samitier, Regueiro, Eugenio",,
03-02-1935,Santiago Bernabeu Stadium,La Liga,2,8,Real Madrid,"Escola, Guzman","Lazcano, Lazcano, Lazcano, Sanudo, Sanudo, Sanudo, Sanudo, Regueiro",,
